company_name,company_web_address
Kube Games,https://store.steampowered.com/curator/36060415?snr=1_5_9__2000
Clarus Victoria,https://store.steampowered.com/curator/34505966?snr=1_5_9__2000
Flying Panjandrum / ふらいんぐパンジャンドラム,https://store.steampowered.com/developer/Flying%20Panjandrum%20%2F%20%E3%81%B5%E3%82%89%E3%81%84%E3%82%93%E3%81%90%E3%83%91%E3%83%B3%E3%82%B8%E3%83%A3%E3%83%B3%E3%83%89%E3%83%A9%E3%83%A0&snr=1_5_9__2000
Ageod,https://store.steampowered.com/developer/Slitherine?snr=1_5_9__2000
Grey Alien Games,https://store.steampowered.com/developer/GreyAlienGames?snr=1_5_9__2000
Infinity Ward,https://store.steampowered.com/developer/Infinity%20Ward&snr=1_5_9__2000
FireFly Studios,https://store.steampowered.com/developer/fireflystudios?snr=1_5_9__2000
Ex Nihilo,https://store.steampowered.com/developer/Arte?snr=1_5_9__2000
ARTE France,https://store.steampowered.com/developer/ARTE%20France&snr=1_5_9__2000
HeroLabs,https://store.steampowered.com/developer/HeroLabs&snr=1_5_9__2000
CREATIVE ASSEMBLY,https://store.steampowered.com/developer/CREATIVE%20ASSEMBLY&snr=1_5_9__2000
Big Bad Wolf,https://store.steampowered.com/developer/CyanideStudio?snr=1_5_9__2000
Bytro Labs GmbH,https://store.steampowered.com/developer/Bytro?snr=1_5_9__2000
Firaxis Games,https://store.steampowered.com/developer/firaxisgames?snr=1_5_9__2000
Gray Matter Studios,https://store.steampowered.com/developer/Gray%20Matter%20Studios&snr=1_5_9__2000
Flashback Games,https://store.steampowered.com/developer/Slitherine?snr=1_5_9__2000
Łukasz Jakowski,https://store.steampowered.com/curator/34531367?snr=1_5_9__2000
Eugen Systems,https://store.steampowered.com/developer/eugensystems?snr=1_5_9__2000
"KOEI TECMO GAMES CO., LTD.",https://store.steampowered.com/developer/KOEITECMO?snr=1_5_9__2000
Tantalus Media,https://store.steampowered.com/developer/AgeOfEmpires?snr=1_5_9__2000
Forgotten Empires,https://store.steampowered.com/developer/AgeOfEmpires?snr=1_5_9__2000
CorvusCorax_studio,https://store.steampowered.com/developer/CorvusCorax_studio&snr=1_5_9__2000
Frag Games,https://store.steampowered.com/developer/Frag%20Games&snr=1_5_9__2000
Mind Control Software,https://store.steampowered.com/developer/Mind%20Control%20Software&snr=1_5_9__2000
Avalon Digital,https://store.steampowered.com/curator/36173274?snr=1_5_9__2000
Yobowargames,https://store.steampowered.com/curator/33993628?snr=1_5_9__2000
Play Native Entertainment,https://store.steampowered.com/developer/Play%20Native%20Entertainment&snr=1_5_9__2000
Starni Games,https://store.steampowered.com/developer/StarniGames?snr=1_5_9__2000
Locus Ludus,https://store.steampowered.com/developer/locusludus?snr=1_5_9__2000
RogueWare,https://store.steampowered.com/developer/RogueWare&snr=1_5_9__2000
Hypnotic Ants,https://store.steampowered.com/developer/Hypnotic%20Ants&snr=1_5_9__2000
Out of the Park Developments,https://store.steampowered.com/developer/ootpdevelopments?snr=1_5_9__2000
Comic and Sons,https://store.steampowered.com/developer/Comic%20and%20Sons&snr=1_5_9__2000
Nathan Weatherford,https://store.steampowered.com/developer/Nathan%20Weatherford&snr=1_5_9__2000
Image Power S.A.,https://store.steampowered.com/developer/playway?snr=1_5_9__2000
Salty Lemon Entertainment,https://store.steampowered.com/developer/Salty%20Lemon%20Entertainment&snr=1_5_9__2000
Nick Van Fossen,https://store.steampowered.com/developer/Nick%20Van%20Fossen&snr=1_5_9__2000
Cerberus,https://store.steampowered.com/developer/Cerberus&snr=1_5_9__2000
Play2Chill,https://store.steampowered.com/developer/Play2Chill&snr=1_5_9__2000
Maltakreuz,https://store.steampowered.com/developer/Maltakreuz&snr=1_5_9__2000
Green Tree Games LLC,https://store.steampowered.com/developer/Green%20Tree%20Games%20LLC&snr=1_5_9__2000
High Tower Games,https://store.steampowered.com/developer/High%20Tower%20Games&snr=1_5_9__2000
Pilgrim Adventures,https://store.steampowered.com/curator/33753618?snr=1_5_9__2000
COSDOTS,https://store.steampowered.com/developer/COSDOTS&snr=1_5_9__2000
REMEX Software,https://store.steampowered.com/developer/REMEX%20Software&snr=1_5_9__2000
Fruits of Yggdrasil Studio,https://store.steampowered.com/developer/Fruits%20of%20Yggdrasil%20Studio&snr=1_5_9__2000
WarZoneLab,https://store.steampowered.com/developer/playway?snr=1_5_9__2000
Choice of Games,https://store.steampowered.com/developer/Choice%20of%20Games&snr=1_5_9__2000
AnYouGame Studio,https://store.steampowered.com/developer/AnYouGame%20Studio&snr=1_5_9__2000
Hexdraw,https://store.steampowered.com/developer/Hexdraw&snr=1_5_9__2000
Fuzion Labs LLC,https://store.steampowered.com/developer/Fuzion%20Labs%20LLC&snr=1_5_9__2000
BeardedBrothers.games,https://store.steampowered.com/developer/BeardedBrothers.games&snr=1_5_9__2000
